id,first_name,second_name,last_name,department
1,Вениамин,Адрианович,Гришин,Кафедра литейных процессов и материаловедения
2,Кир,Демьянович,Цветков,Кафедра литейных процессов и материаловедения
3,Вера,Борисовна,Ларионова,Кафедра литейных процессов и материаловедения
4,Трифон,Афанасьевич,Капустин,Кафедра металлургии и химических технологий
5,Панфил,Александрович,Новиков,Кафедра металлургии и химических технологий
6,Вадим,Григорьевич,Жуков,Кафедра металлургии и химических технологий
7,Силантий,Адрианович,Шилов,Кафедра обработки материалов давлением им. М.И. Бояршинова
8,Евстафий,Федосеевич,Поляков,Кафедра обработки материалов давлением им. М.И. Бояршинова
9,Нонна,Эдуардовна,Матвеева,Кафедра обработки материалов давлением им. М.И. Бояршинова
10,Аверьян,Владиленович,Игнатов,Кафедра машин и технологий обработки давлением и машиностроения
11,Панфил,Измаилович,Матвеев,Кафедра машин и технологий обработки давлением и машиностроения
12,Герман,Григорьевич,Кондратьев,Кафедра машин и технологий обработки давлением и машиностроения
13,Мартын,Бориславович,Тарасов,Кафедра механики
14,Натан,Богданович,Ефимов,Кафедра механики
15,Мечислав,Евсеевич,Константинов,Кафедра механики
16,Аникей,Фокич,Беляков,Кафедра проектирования и эксплуатации металлургических машин и оборудования
17,Варвара,Мироновна,Федорова,Кафедра проектирования и эксплуатации металлургических машин и оборудования
18,Устин,Ерофеевич,Никонов,Кафедра проектирования и эксплуатации металлургических машин и оборудования
19,Юлия,Михайловна,Игнатьева,"Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых"
20,Евдокия,Афанасьевна,Соловьева,"Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых"
21,Зосима,Ермолаевич,Федоров,"Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых"
22,Игорь,Бориславович,Щербаков,Кафедра горных машин и транспортно-технологических комплексов
23,Ирина,Робертовна,Калашникова,Кафедра горных машин и транспортно-технологических комплексов
24,Майя,Валериевна,Фомина,Кафедра горных машин и транспортно-технологических комплексов
25,Людмила,Григорьевна,Агафонова,Кафедра логистики и управления транспортными системами
26,Карл,Артёмович,Кошелев,Кафедра логистики и управления транспортными системами
27,Данила,Демьянович,Сорокин,Кафедра логистики и управления транспортными системами
28,Октябрина,Мироновна,Дорофеева,Кафедра разработки месторождений полезных ископаемых
29,Федосий,Гурьевич,Зимин,Кафедра разработки месторождений полезных ископаемых
30,Любосмысл,Антонович,Данилов,Кафедра разработки месторождений полезных ископаемых
31,Александра,Кузьминична,Власова,Кафедра автоматизированного электропривода и мехатроники
32,Карп,Арсенович,Соболев,Кафедра автоматизированного электропривода и мехатроники
33,Татьяна,Кузьминична,Соболева,Кафедра автоматизированного электропривода и мехатроники
34,Полина,Никифоровна,Доронина,Кафедра теплотехнических и энергетических систем
35,Оксана,Вениаминовна,Белоусова,Кафедра теплотехнических и энергетических систем
36,Вышеслав,Денисович,Кононов,Кафедра теплотехнических и энергетических систем
37,Тамара,Тарасовна,Белоусова,Кафедра электроники и микроэлектроники
38,Фотий,Федотович,Самсонов,Кафедра электроники и микроэлектроники
39,Фаина,Ниловна,Денисова,Кафедра электроники и микроэлектроники
40,Ефим,Викентьевич,Панфилов,Кафедра электроснабжения промышленных предприятий
41,Полина,Богдановна,Симонова,Кафедра электроснабжения промышленных предприятий
42,Алла,Вадимовна,Степанова,Кафедра электроснабжения промышленных предприятий
43,Гордей,Федосьевич,Кириллов,Кафедра автоматизированных систем управления
