id,first_name,second_name,last_name,birth_date,group,admission_year,education_form
1,Капитон,Юльевич,Емельянов,2004-08-15,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
2,Алла,Богдановна,Калашникова,2007-07-23,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
3,Кирилл,Андреевич,Смирнов,2006-01-09,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
4,Василиса,Захаровна,Сорокина,2007-11-13,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
5,Устин,Федотович,Шилов,2000-07-07,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
6,Валерия,Анатольевна,Фокина,2002-11-20,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
7,Трифон,Алексеевич,Щукин,2006-08-19,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
8,Фортунат,Виленович,Горбунов,2002-07-08,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
9,Андроник,Ефремович,Громов,2001-01-10,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
10,Мирон,Глебович,Федосеев,2004-08-05,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
11,Варфоломей,Ильич,Гуляев,2007-04-07,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
12,Юлия,Владиславовна,Стрелкова,2004-05-18,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
13,Гремислав,Вячеславович,Бобылев,2007-05-13,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
14,Аким,Вячеславович,Зиновьев,2006-01-01,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
15,Остап,Денисович,Федотов,2003-01-22,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
16,Валентина,Мироновна,Уварова,2001-01-03,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
17,Олимпиада,Дмитриевна,Медведева,2008-03-07,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
18,Любовь,Константиновна,Бирюкова,2004-03-22,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
19,Захар,Адрианович,Прохоров,2003-08-21,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
20,Нифонт,Игнатович,Матвеев,2001-07-13,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Очная
21,Ирина,Макаровна,Носкова,2009-01-06,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
22,Нифонт,Игнатович,Субботин,2000-10-26,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
23,Валерия,Захаровна,Борисова,2004-11-12,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
24,Андрей,Борисович,Кириллов,2007-09-29,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
25,Мечислав,Жанович,Кудряшов,2009-01-18,"{'id': 1, 'number': 101, 'course': 4, 'institute': 'Институт горного дела и транспорта', 'department': 'Кафедра геологии, маркшейдерского дела и обогащения полезных ископаемых'}",2022,Заочная
26,Виктор,Теймуразович,Мясников,2003-08-02,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
27,Зоя,Аскольдовна,Рогова,2007-10-08,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
28,Август,Герасимович,Громов,2007-09-08,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
29,Ангелина,Леоновна,Ефремова,2005-09-09,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
30,Варвара,Кузьминична,Селезнева,2005-08-11,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
31,Осип,Зиновьевич,Маслов,2005-05-19,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
32,Фадей,Валерьянович,Григорьев,2007-07-03,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
33,Натан,Всеволодович,Горбачев,2005-06-21,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
34,Онуфрий,Ааронович,Антонов,2005-03-25,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
35,Епифан,Феликсович,Устинов,2005-10-31,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
36,Октябрина,Павловна,Зуева,2003-12-26,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
37,Раиса,Руслановна,Евсеева,2003-03-28,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
38,Анжелика,Ильинична,Копылова,2006-01-19,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
39,Вадим,Данилович,Муравьев,2005-08-18,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
40,Елена,Геннадьевна,Куликова,2000-10-06,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
41,Алина,Ефимовна,Мухина,2001-08-03,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
42,Ратибор,Фёдорович,Доронин,2003-08-29,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
43,Мария,Святославовна,Власова,2004-07-02,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
44,Вероника,Александровна,Рожкова,2002-03-01,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
45,Наталья,Дмитриевна,Борисова,2009-02-28,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Очная
46,Октябрина,Альбертовна,Наумова,2004-08-03,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
47,Варвара,Робертовна,Кузьмина,2008-04-03,"{'id': 2, 'number': 102, 'course': 2, 'institute': 'Институт энергетики и автоматизированных систем', 'department': 'Кафедра информатики и информационной безопасности'}",2024,Заочная
